2026-07-29 21:45:18,185 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/cac-quy-ngoai-vua-trao-tay-so-co-phieu-fpt-tri-gia-khoang-270-ty-dong-20170725175008457.chn
2026-07-29 21:45:20,363 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/pho-tong-giam-doc-fpt-da-mua-150000-co-phieu-fpt-20170621111449968.chn
2026-07-29 21:45:25,284 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-hoa-hau-am-tham-di-len-co-phieu-fpt-dang-chung-to-su-chuyen-minh-sau-nhieu-nam-tri-tre-20170617230534687.chn
2026-07-29 21:45:29,651 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-lien-tuc-lap-dinh-moi-pho-tgd-duong-dung-trieu-van-muon-mua-vao-20170613175116342.chn
2026-07-29 21:45:32,466 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/gia-co-phieu-fpt-dang-len-dau-tu-scic-muon-ban-bot-gan-900000-co-phieu-20170327182339418.chn
2026-07-29 21:45:34,447 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/co-phieu-fpt-lien-tuc-pha-dinh-dau-tu-scic-tinh-ban-chot-lai-20160927214755056.chn
2026-07-29 21:45:38,426 | INFO | ticker=FPT | source=cafef | accepted | score=12.0 | url=https://cafef.vn/red-river-ban-ra-37-trieu-co-phieu-fpt-trong-ngay-co-phieu-nay-dat-dinh-20160912215642615.chn
2026-07-29 21:45:40,448 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/quy-ngoai-trao-tay-hon-14-trieu-co-phieu-fpt-20160712163638237.chn
2026-07-29 21:45:43,155 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/thi-truong-chung-khoan/the-caravel-da-ban-noi-khoi-ngoai-gan-2-5-trieu-co-phieu-fpt-trong-ngay-thu-2-den-toi-2016011911343221.chn
2026-07-29 21:45:46,196 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/doanh-nghiep/bao-minh-bat-ngo-dang-ky-mua-co-phieu-fpt-20151116164424222.chn
2026-07-29 21:45:49,916 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/doanh-nghiep/sau-khi-ban-cong-ty-con-cua-scic-lai-dang-ky-mua-vao-co-phieu-fpt-20150906092239631.chn
2026-07-29 21:45:52,896 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/doanh-nghiep/nhom-co-dong-dragon-capital-chuyen-nhuong-3-trieu-co-phieu-fpt-cho-wasatch-20150716002903378.chn
2026-07-29 21:45:57,597 | INFO | ticker=FPT | source=cafef | accepted | score=12.0 | url=https://cafef.vn/doanh-nghiep/kuroto-fund-mua-1-8-trieu-co-phieu-fpt-tu-4-to-chuc-ngoai-20150513114055764.chn
2026-07-29 21:45:59,869 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/thi-truong-chung-khoan/vf4-thanh-ly-co-phieu-fpt-dem-lai-gan-48-loi-nhuan-cho-quy-20150327073447885.chn
2026-07-29 21:46:03,380 | INFO | ticker=FPT | source=cafef | duplicate | score=6.0 | url=https://cafef.vn/doanh-nghiep/scic-investment-tiep-tuc-dang-ky-mua-1-trieu-co-phieu-fpt-2014112114162414317.chn
2026-07-29 21:46:08,148 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/doanh-nghiep/vietnam-equity-holding-ban-1-trieu-co-phieu-fpt-cho-kuroto-fund-2014111416235037316.chn
2026-07-29 21:46:10,687 | INFO | ticker=FPT | source=cafef | accepted | score=14.0 | url=https://cafef.vn/doanh-nghiep/fpt-gom-them-co-phieu-fpt-telecom-voi-muc-gia-52000-dongcp-2014080416241607317.chn
2026-07-29 21:46:13,269 | INFO | ticker=FPT | source=cafef | rejected | score=7.0 | url=https://cafef.vn/doanh-nghiep/scic-investment-da-mua-luong-co-phieu-fpt-tri-gia-gan-40-ty-dong-2014061817333123716.chn
2026-07-29 21:46:15,531 | INFO | ticker=FPT | source=cafef | rejected | score=4.0 | url=https://cafef.vn/nhan-vat/ong-truong-dinh-anh-thu-ve-hon-50-ty-khi-ban-phan-lon-co-phieu-fpt-1883101515494069319.chn
2026-07-29 21:46:19,879 | INFO | ticker=FPT | source=cafef | duplicate | score=3.0 | url=https://cafef.vn/doanh-nghiep/noi-got-co-dong-lon-nhat-ong-truong-dinh-anh-dang-ky-ban-gan-het-so-co-phieu-fpt-dang-nam-giu-201309111425015536.chn
2026-07-29 21:46:24,541 | INFO | ticker=FPT | source=cafef | duplicate | score=4.0 | url=https://cafef.vn/thi-truong/ong-truong-dinh-anh-bat-ngo-cong-bo-ban-luong-co-phieu-fpt-tri-gia-50-ty-dong-1881309111421026477.chn
2026-07-29 21:46:27,073 | INFO | ticker=FPT | source=cafef | rejected | score=-20.0 | url=https://cafef.vn/doanh-nghiep/fpt-telecom-gom-them-co-phieu-fpt-online-2013090822482246710.chn
2026-07-29 21:46:30,027 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/thi-truong-chung-khoan/orchid-capital-va-nghi-an-thoai-29-trieu-co-phieu-fpt-trong-3-phien-vua-qua-2013090618002616020.chn
2026-07-29 21:46:32,738 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/doanh-nghiep/chart-gia-co-phieu-fpt-duoi-thoi-truong-dinh-anh-20120927121421751.chn
2026-07-29 21:46:36,616 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/doanh-nghiep/scic-chua-tiep-can-de-nghi-hoan-doi-co-phieu-fpt-telecom-20120504020850753.chn
2026-07-29 21:46:38,717 | INFO | ticker=FPT | source=cafef | duplicate | score=3.0 | url=https://cafef.vn/thi-truong-chung-khoan/khoi-ngoai-tap-trung-giao-dich-o-3-co-phieu-fpt-hag-va-vic-20111115023814607.chn
2026-07-29 21:46:41,486 | INFO | ticker=FPT | source=cafef | rejected | score=4.0 | url=https://cafef.vn/thi-truong-chung-khoan/khoi-ngoai-day-manh-giao-dich-o-2-co-phieu-fpt-va-hag-20111107025439380.chn
2026-07-29 21:46:43,632 | INFO | ticker=FPT | source=cafef | duplicate | score=4.0 | url=https://cafef.vn/thi-truong-chung-khoan/khoi-ngoai-mua-rong-dot-bien-101-ty-dong-co-phieu-fpt-20111026024645478.chn
2026-07-29 21:46:46,630 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/thi-truong-chung-khoan/khoi-ngoai-mua-rong-hon-4-trieu-co-phieu-fpt-trong-thang-7-201172915275972.chn
2026-07-29 21:46:48,551 | INFO | ticker=FPT | source=cafef | accepted | score=11.0 | url=https://cafef.vn/doanh-nghiep/deutsche-bank-da-mua-gan-64500-co-phieu-fpt-2008512205536514.chn
2026-07-29 21:46:58,077 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/thi-truong-chung-khoan/lieu-co-van-de-gi-voi-co-phieu-fpt-hay-khong-2007121672014910.chn
2026-07-29 21:47:01,830 | INFO | ticker=FPT | source=cafef | duplicate | score=3.0 | url=https://cafef.vn/doanh-nghiep/deutsche-bank-tang-ty-le-so-huu-co-phieu-fpt-20071210102425460.chn
2026-07-29 21:47:04,262 | INFO | ticker=FPT | source=cafef | rejected | score=-16.0 | url=https://cafef.vn/dong-loat-dinh-gia-fpt-retail-tren-200000-dong-cp-cac-cong-ty-chung-khoan-da-viet-vi-18825040217464225.chn
